LeagueID,LeagueName,DraftID,Round,Pick_No,OverallPick,Picked_By,RosterID,PlayerID,FirstName,LastName,Team,Position,Status,YearsExp
644097339790827520,NCAA OHIO VALLEY,644097340822597632,12,134,266,472879969664495616,4,2431,Mike,Davis,CAR,RB,Active,5
644097339790827520,NCAA OHIO VALLEY,644097340822597632,12,135,267,594242128851296256,10,6869,Adam,Trautman,NO,TE,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,12,136,268,331558449374593024,6,4985,Rashaad,Penny,SEA,RB,Inactive,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,12,137,269,571753677428977664,1,5001,Dalton,Schultz,DAL,TE,Active,2
644097339790827520,NCAA OHIO VALLEY,644097340822597632,12,138,270,635700695584043008,7,6885,Ke'Shawn,Vaughn,TB,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,12,139,271,601198801197260800,2,536,Antonio,Brown,TB,WR,Active,10
644097339790827520,NCAA OHIO VALLEY,644097340822597632,12,140,272,474662041341128704,5,4157,Tarik,Cohen,CHI,RB,Injured Reserve,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,12,141,273,468944645166985216,3,7064,Darrynton,Evans,TEN,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,12,142,274,69768813763510272,8,5987,Alexander,Mattison,MIN,RB,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,12,143,275,327689364916146176,12,5947,Jakobi,Meyers,NE,WR,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,12,144,276,347683464398749696,9,5916,Darrell,Henderson,LAR,RB,Injured Reserve,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,13,145,289,347683464398749696,9,5917,Mecole,Hardman,KC,WR,Active,1
644097339790827520,NCAA OHIO VALLEY,644097340822597632,13,146,290,327689364916146176,12,6909,Lynn,Bowden,MIA,RB,Active,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,13,147,291,69768813763510272,8,3163,Jared,Goff,LAR,QB,Active,4
644097339790827520,NCAA OHIO VALLEY,644097340822597632,13,148,292,468944645166985216,3,1166,Kirk,Cousins,MIN,QB,Active,8
644097339790827520,NCAA OHIO VALLEY,644097340822597632,13,149,293,474662041341128704,5,4068,Mike,Williams,LAC,WR,Active,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,13,150,294,601198801197260800,2,6931,DeeJay,Dallas,SEA,RB,Inactive,0
644097339790827520,NCAA OHIO VALLEY,644097340822597632,13,151,295,635700695584043008,7,4152,Marlon,Mack,IND,RB,Injured Reserve,3
644097339790827520,NCAA OHIO VALLEY,644097340822597632,13,152,296,571753677428977664,1,3664,J.D.,McKissic,WAS,RB,Active,4
