player_id,first_name,last_name,position,status,team
13120,Jacoby,Jones,WR,Active,WAS
8924,Thomas,Odukoya,TE,Active,NE
11615,Ainias,Smith,WR,Active,CAR
11306,Xavier,Gipson,WR,Active,PHI
5927,Terry,McLaurin,WR,Active,WAS
4199,Aaron,Jones,RB,Active,MIN
4950,Christian,Kirk,WR,Active,HOU
12472,Raheim,Sanders,RB,Active,CLE
12865,AJ,Henning,WR,Active,MIA
11646,Jalen,Coker,WR,Active,CAR
4454,Kendrick,Bourne,WR,Active,SF
12498,Mason,Taylor,TE,Active,NYJ
12481,Cam,Skattebo,RB,Inactive,NYG
10218,Xavier,Hutchinson,WR,Active,HOU
6154,David,Sills,WR,Active,ATL
6931,DeeJay,Dallas,RB,Active,CAR
11623,Jordan,Whittington,WR,Active,LAR
