Year,LeagueID,LeagueName,RosterID,OwnerID,OwnerName,Division,DivisionName,Wins,Losses,PointsFor,PointsAgainst
2022,787469538403921920,NCAA HISTORICALLY BLACK,1,471427194132885504,PhantomXX,2,Hurricane,5,6,1232.6,1299.46
2022,787469538403921920,NCAA HISTORICALLY BLACK,2,,Unknown,1,Mississippi River,3,8,1071.68,1297.36
2022,787469538403921920,NCAA HISTORICALLY BLACK,3,640052303377952768,lcummings,2,Hurricane,8,3,1522.68,1259.58
2022,787469538403921920,NCAA HISTORICALLY BLACK,4,640086413861294080,csmith1222,1,Mississippi River,5,6,1483.5,1490.72
2022,787469538403921920,NCAA HISTORICALLY BLACK,5,519656908428791808,tpearson2222,2,Hurricane,6,5,1416.88,1578.8
2022,787469538403921920,NCAA HISTORICALLY BLACK,6,692168840821411840,DeanFalcon,2,Hurricane,7,4,1534.52,1307.94
2022,787469538403921920,NCAA HISTORICALLY BLACK,7,519728067978186752,StrikerS091,1,Mississippi River,3,8,1151.64,1425.02
2022,787469538403921920,NCAA HISTORICALLY BLACK,8,467835045181124608,wblack2012,1,Mississippi River,7,4,1390.84,1264.64
2022,787469538403921920,NCAA HISTORICALLY BLACK,9,631893934183882752,aaronlaw,2,Hurricane,5,6,1277.02,1395.8
2022,787469538403921920,NCAA HISTORICALLY BLACK,10,694233255825719296,bb7661KING,2,Hurricane,6,5,1656.18,1470.98
2022,787469538403921920,NCAA HISTORICALLY BLACK,11,327614483000217600,Jerryb83,1,Mississippi River,6,5,1428.4,1412.28
2022,787469538403921920,NCAA HISTORICALLY BLACK,12,520088376557371392,scoobydaeaglemahomes,1,Mississippi River,5,6,1464.02,1427.38
2022,787469508792152064,NCAA WILD,1,457579310098673664,LanceBoneau,1,PLAINS,6,5,1557.5,1385.02
2022,787469508792152064,NCAA WILD,2,635686851117670400,WillAllen,2,VALLEY,3,8,1254.4,1433.6
2022,787469508792152064,NCAA WILD,3,441392312380026880,4thdownTD,1,PLAINS,10,1,1763.52,1249.54
