Year,LeagueID,LeagueName,Week,TransactionID,Type,RosterIDs,OwnerIDs,Picks,Adds,Drops,Status,Created
2021,652823294856224768,NCAA PAC 12,1,730771223285485568,free_agent,[1],['437465313911500800'],[],,{'344': 1},complete,1628591946005
2021,652823294856224768,NCAA PAC 12,1,730770821391446016,free_agent,[4],['477666723663704064'],[],{'4741': 4},,complete,1628591850186
2021,652823294856224768,NCAA PAC 12,1,730770071810613248,free_agent,[4],['477666723663704064'],[],{'5570': 4},,complete,1628591671472
2021,652823294856224768,NCAA PAC 12,1,730769534172147712,free_agent,[4],['477666723663704064'],[],{'5137': 4},,complete,1628591543289
2021,652823294856224768,NCAA PAC 12,1,730769214675247104,free_agent,[4],['477666723663704064'],[],{'4949': 4},,complete,1628591467115
2021,652823294856224768,NCAA PAC 12,1,730769025524719616,free_agent,[4],['477666723663704064'],[],{'2025': 4},,complete,1628591422018
2021,652823294856224768,NCAA PAC 12,1,730768405912723456,free_agent,[8],['449317906098941952'],[],{'6040': 8},,complete,1628591274291
2021,652823294856224768,NCAA PAC 12,1,730768339349176320,free_agent,[8],['449317906098941952'],[],{'4111': 8},,complete,1628591258421
2021,652823294856224768,NCAA PAC 12,1,730766940133548032,free_agent,[4],['477666723663704064'],[],{'1266': 4},,complete,1628590924822
2021,652823294856224768,NCAA PAC 12,1,730763772247015424,trade,"[4, 9]","['477666723663704064', '519390092788297728']","[{'round': 1, 'season': '2022', 'league_id': None, 'roster_id': 10, 'owner_id': 4, 'previous_owner_id': 9}, {'round': 3, 'season': '2022', 'league_id': None, 'roster_id': 11, 'owner_id': 9, 'previous_owner_id': 4}, {'round': 4, 'season': '2023', 'league_id': None, 'roster_id': 4, 'owner_id': 9, 'previous_owner_id': 4}, {'round': 4, 'season': '2023', 'league_id': None, 'roster_id': 8, 'owner_id': 9, 'previous_owner_id': 4}]","{'3225': 9, '4055': 9, '6130': 9, '6828': 4}","{'3225': 4, '4055': 4, '6130': 4, '6828': 9}",complete,1628590169539
2021,652823294856224768,NCAA PAC 12,1,730550893233205248,free_agent,[8],['449317906098941952'],[],{'559': 8},,complete,1628539415227
2021,652823294856224768,NCAA PAC 12,1,730512610776190976,free_agent,[3],['470320542868566016'],[],,{'23': 3},complete,1628530287978
2021,652823294856224768,NCAA PAC 12,1,729979883878510592,free_agent,[10],['534619662650601472'],[],,{'5889': 10},complete,1628403275988
2021,652823294856224768,NCAA PAC 12,1,729979415324409856,free_agent,[10],['534619662650601472'],[],,{'1500': 10},complete,1628403164276
2021,652823294856224768,NCAA PAC 12,1,729979268985155584,free_agent,[10],['534619662650601472'],[],,{'268': 10},complete,1628403129386
2021,652823294856224768,NCAA PAC 12,1,728418486736539648,trade,"[4, 11]","['477666723663704064', '76460245878456320']","[{'round': 3, 'season': '2022', 'league_id': None, 'roster_id': 11, 'owner_id': 4, 'previous_owner_id': 11}, {'round': 2, 'season': '2021', 'league_id': None, 'roster_id': 7, 'owner_id': 11, 'previous_owner_id': 4}]","{'4066': 11, '5038': 11, '5890': 4}","{'4066': 4, '5038': 4, '5890': 11}",complete,1628031009900
2021,652823294856224768,NCAA PAC 12,1,727056061042876416,free_agent,[9],['519390092788297728'],[],{'2346': 9},,complete,1627706182302
2021,652823294856224768,NCAA PAC 12,1,727056026389565440,free_agent,[9],['519390092788297728'],[],,{'5250': 9},complete,1627706174040
2021,652823294856224768,NCAA PAC 12,1,727005325470801920,free_agent,[7],['597246797479469056'],[],,{'2346': 7},complete,1627694085999
2021,652823294856224768,NCAA PAC 12,1,727004291373572096,free_agent,[7],['597246797479469056'],[],,{'3297': 7},complete,1627693839451
2021,652823294856224768,NCAA PAC 12,1,726915767722909696,free_agent,[2],['709857172258881536'],[],,{'289': 2},complete,1627672733768
2021,652823294856224768,NCAA PAC 12,1,726915722080538624,free_agent,[2],['709857172258881536'],[],,{'6595': 2},complete,1627672722886
2021,652823294856224768,NCAA PAC 12,1,726909687450165248,trade,"[2, 11]","['709857172258881536', '76460245878456320']",[],"{'2306': 2, '4068': 11}","{'2306': 11, '4068': 2}",complete,1627671284118
